nombre_comun_es,nombre_oficial_es,capital,region,poblacion,area
Comoras,Unión de las Comoras,Moroni,Africa,919901,1862
Benín,República de Benin,Porto-Novo,Africa,13224860,112622
Sudáfrica,República de Sudáfrica,"Pretoria, Bloemfontein, Cape Town",Africa,63100945,1221037
Zambia,República de Zambia,Lusaka,Africa,19693423,752612
Mayotte,Departamento de Mayotte,Mamoudzou,Africa,320901,374
Gambia,República de Gambia,Banjul,Africa,2422712,10689
República Centroafricana,República Centroafricana,Bangui,Africa,6470307,622984
Malawi,República de Malawi,Lilongwe,Africa,20734262,118484
Ruanda,República de Rwanda,Kigali,Africa,14104969,26338
Mauricio,República de Mauricio,Port Louis,Africa,1243741,2040
Chad,República de Chad,N'Djamena,Africa,19340757,1284000
Reunión,Isla de la Reunión,Saint-Denis,Africa,896175,2511
Santo Tomé y Príncipe,República Democrática de Santo Tomé y Príncipe,São Tomé,Africa,209607,964
Djibouti,República de Djibouti,Djibouti,Africa,1066809,23200
"Santa Elena, Ascensión y Tristán de Acuña","Santa Elena, Ascensión y Tristán de Acuña",Jamestown,Africa,5651,394
Liberia,República de Liberia,Monrovia,Africa,5248621,111369
Burkina Faso,Burkina Faso,Ouagadougou,Africa,24070553,272967
Guinea,República de Guinea,Conakry,Africa,14363931,245857
Togo,República de Togo,Lomé,Africa,8095498,56785
Níger,República de Níger,Niamey,Africa,26312034,1267000
Territorio Británico del Océano Índico,Territorio Británico del Océano Índico,Diego Garcia,Africa,0,60
Cabo Verde,República de Cabo Verde,Praia,Africa,491233,4033
Camerún,República de Camerún,Yaoundé,Africa,29442327,475442
Eritrea,Estado de Eritrea,Asmara,Africa,3607000,117600
Burundi,República de Burundi,Gitega,Africa,12332788,27834
Kenia,República de Kenya,Nairobi,Africa,53330978,580367
Zimbabue,República de Zimbabue,Harare,Africa,17073087,390757
Egipto,República Árabe de Egipto,Cairo,Africa,107271260,1002450
Nigeria,República Federal de Nigeria,Abuja,Africa,223800000,923768
Costa de Marfil,República de Côte d'Ivoire,Yamoussoukro,Africa,31719275,322463
Ghana,República de Ghana,Accra,Africa,33742380,238533
Somalia,República Federal de Somalia,Mogadishu,Africa,19655000,637657
Mozambique,República de Mozambique,Maputo,Africa,34090466,801590
Madagascar,República de Madagascar,Antananarivo,Africa,31727042,587041
Etiopía,República Democrática Federal de Etiopía,Addis Ababa,Africa,111652998,1104300
Angola,República de Angola,Luanda,Africa,36170961,1246700
Congo (Rep. Dem.),República Democrática del Congo,Kinshasa,Africa,112832000,2344858
Sierra Leone,República de Sierra Leona,Freetown,Africa,9077691,71740
Mauritania,República Islámica de Mauritania,Nouakchott,Africa,4927532,1030700
Libia,Estado de Libia,Tripoli,Africa,7459000,1759540
Argelia,República Argelina Democrática y Popular,Algiers,Africa,47400000,2381741
Congo,República del Congo,Brazzaville,Africa,6142180,342000
Gabón,República de Gabón,Libreville,Africa,2469296,267668
Namibia,República de Namibia,Windhoek,Africa,3022401,825615
Sudán del Sur,República de Sudán del Sur,Juba,Africa,15786898,619745
Sudán,República de Sudán,Khartoum,Africa,51662000,1886068
Botswana,República de Botswana,Gaborone,Africa,2359609,582000
Uganda,República de Uganda,Kampala,Africa,45905417,241550
Mali,República de Malí,Bamako,Africa,22395489,1240192
Lesotho,Reino de Lesotho,Maseru,Africa,2116427,30355
Guinea-Bisáu,República de Guinea-Bissau,Bissau,Africa,1781308,36125
Seychelles,República de las Seychelles,Victoria,Africa,122729,452
Marruecos,Reino de Marruecos,Rabat,Africa,36828330,446550
Sahara Occidental,República Árabe Saharaui Democrática,El Aaiún,Africa,600904,266000
Tanzania,República Unida de Tanzania,Dodoma,Africa,68153004,945087
Guinea Ecuatorial,República de Guinea Ecuatorial,Malabo,Africa,1668768,28051
Túnez,República de Túnez,Tunis,Africa,11972169,163610
Senegal,República de Senegal,Dakar,Africa,18593258,196722
Suazilandia,Reino de eSwatini,Mbabane,Africa,1235549,17364
