nombre_comun_es,nombre_oficial_es,capital,region,poblacion,area
Antigua y Barbuda,Antigua y Barbuda,Saint John's,Americas,103603,442
Bermudas,Bermuda,Hamilton,Americas,64055,54
Estados Unidos,Estados Unidos de América,"Washington, D.C.",Americas,340110988,9372610
Ecuador,República del Ecuador,Quito,Americas,18103660,276841
Anguilla,Anguila,The Valley,Americas,16010,91
Colombia,República de Colombia,Bogotá,Americas,53057212,1141748
Cuba,República de Cuba,Havana,Americas,9748007,109884
Surinam,República de Suriname,Paramaribo,Americas,616500,163820
Honduras,República de Honduras,Tegucigalpa,Americas,9892632,112492
Guayana Francesa,Guayana,Cayenne,Americas,292354,83534
Bahamas,Commonwealth de las Bahamas,Nassau,Americas,398165,13943
Perú,República de Perú,Lima,Americas,34350244,1285216
Guadalupe,Guadalupe,Basse-Terre,Americas,378561,1628
Islas Malvinas,islas Malvinas,Stanley,Americas,3662,12173
Brasil,República Federativa del Brasil,Brasília,Americas,213421037,8515767
Martinica,Martinica,Fort-de-France,Americas,349925,1128
Belice,Belice,Belmopan,Americas,417634,22966
México,Estados Unidos Mexicanos,Mexico City,Americas,130575786,1964375
Trinidad y Tobago,República de Trinidad y Tobago,Port of Spain,Americas,1367764,5130
Islas Vírgenes del Reino Unido,Islas Vírgenes,Road Town,Americas,39471,151
Islas Vírgenes de los Estados Unidos,Islas Vírgenes de los Estados Unidos,Charlotte Amalie,Americas,87146,347
Dominica,Mancomunidad de Dominica,Roseau,Americas,67408,751
San Cristóbal y Nieves,Federación de San Cristóbal y Nevis,Basseterre,Americas,51320,261
Sint Maarten,Sint Maarten,Philipsburg,Americas,41349,34
Barbados,Barbados,Bridgetown,Americas,267800,430
Paraguay,República de Paraguay,Asunción,Americas,6109644,406752
Santa Lucía,Santa Lucía,Castries,Americas,184100,616
Caribe Neerlandés,"Bonaire, San Eustaquio y Saba",Kralendijk,Americas,31980,328
Islas Ultramarinas Menores de Estados Unidos,Estados Unidos Islas menores alejadas de,Washington DC,Americas,0,34
San Vicente y Granadinas,San Vicente y las Granadinas,Kingstown,Americas,110872,389
Bolivia,Estado Plurinacional de Bolivia,Sucre,Americas,11365333,1098581
Venezuela,República Bolivariana de Venezuela,Caracas,Americas,28517000,916445
Jamaica,Jamaica,Kingston,Americas,2825544,10991
Montserrat,Montserrat,Plymouth,Americas,4386,102
Saint Martin,Saint Martin,Marigot,Americas,31496,53
República Dominicana,República Dominicana,Santo Domingo,Americas,10771504,48671
Islas Turks y Caicos,Islas Turcas y Caicos,Cockburn Town,Americas,50828,948
Curazao,País de Curazao,Willemstad,Americas,156115,444
Guyana,República Cooperativa de Guyana,Georgetown,Americas,772975,214969
Grenada,Granada,St. George's,Americas,109021,344
Islas Caimán,Islas Caimán,George Town,Americas,84738,264
Costa Rica,República de Costa Rica,San José,Americas,5309625,51100
Uruguay,República Oriental del Uruguay,Montevideo,Americas,3499451,181034
Groenlandia,Groenlandia,Nuuk,Americas,56542,2166086
Argentina,República Argentina,Buenos Aires,Americas,46735004,2780400
San Pedro y Miquelón,San Pedro y Miquelón,Saint-Pierre,Americas,5819,242
Haití,República de Haití,Port-au-Prince,Americas,11867032,27750
San Bartolomé,Colectividad de San Barthélemy,Gustavia,Americas,10562,21
Nicaragua,República de Nicaragua,Managua,Americas,6803886,130373
Canadá,Canadá,Ottawa,Americas,41651653,9984670
Panamá,República de Panamá,Panama City,Americas,4064780,75417
Puerto Rico,Asociado de Puerto Rico,San Juan,Americas,3203295,8870
Aruba,Aruba,Oranjestad,Americas,107566,180
El Salvador,República de El Salvador,San Salvador,Americas,6029976,21041
Chile,República de Chile,Santiago,Americas,20206953,756102
Guatemala,República de Guatemala,Guatemala City,Americas,18079810,108889
