nombre_comun_es,nombre_oficial_es,capital,region,poblacion,area
Catar,Estado de Qatar,Doha,Asia,3173024,11586
Líbano,República Libanesa,Beirut,Asia,5490000,10452
Siria,República Árabe Siria,Damascus,Asia,25620000,185180
Irak,República de Irak,Baghdad,Asia,46118793,438317
Tayikistán,República de Tayikistán,Dushanbe,Asia,10499000,143100
Brunei,"Nación de Brunei, Morada de la Paz",Bandar Seri Begawan,Asia,455500,5765
Omán,Sultanato de Omán,Muscat,Asia,5343630,309500
Armenia,República de Armenia,Yerevan,Asia,3076200,29743
Azerbaiyán,República de Azerbaiyán,Baku,Asia,10241722,86600
Palestina,Estado de Palestina,"Ramallah, Jerusalem",Asia,5483450,6220
Filipinas,República de las Filipinas,Manila,Asia,114123600,342353
Uzbekistán,República de Uzbekistán,Tashkent,Asia,37859698,447400
Kuwait,Estado de Kuwait,Kuwait City,Asia,4881254,17818
Bután,Reino de Bután,Thimphu,Asia,784043,38394
Vietnam,República Socialista de Vietnam,Hanoi,Asia,101343800,331212
Camboya,Reino de Camboya,Phnom Penh,Asia,17577760,181035
Yemen,República de Yemen,Sana'a,Asia,32684503,527968
Jordania,Reino Hachemita de Jordania,Amman,Asia,11734000,89342
Bahrein,Reino de Bahrein,Manama,Asia,1594654,765
Bangladesh,República Popular de Bangladesh,Dhaka,Asia,169828911,147570
Timor Oriental,República Democrática de Timor-Leste,Dili,Asia,1391221,14874
Sri Lanka,República Democrática Socialista de Sri Lanka,Sri Jayawardenepura Kotte,Asia,21763170,65610
Turquía,República de Turquía,Ankara,Asia,85664944,783562
Kirguizistán,República Kirguisa,Bishkek,Asia,7281800,199951
Nepal,República Democrática Federal de Nepal,Kathmandu,Asia,29911840,147181
India,República de la India,New Delhi,Asia,1417492000,3287263
Hong Kong,Hong Kong Región Administrativa Especial de la República Popular China,City of Victoria,Asia,7527500,1104
Laos,República Democrática Popular Lao,Vientiane,Asia,7647000,236800
Emiratos Árabes Unidos,Emiratos Árabes Unidos,Abu Dhabi,Asia,11294243,83600
Macao,"Macao, Región Administrativa Especial de la República Popular China",N/A,Asia,685900,30
Israel,Estado de Israel,Jerusalem,Asia,10134800,21937
Mongolia,Mongolia,Ulan Bator,Asia,3544835,1564110
Indonesia,República de Indonesia,Jakarta,Asia,284438782,1904569
Kazajistán,República de Kazajstán,Astana,Asia,20426568,2724900
Malasia,Malasia,Kuala Lumpur,Asia,34231700,330803
Taiwán,República de China en Taiwán,Taipei,Asia,23317031,36197
Georgia,Georgia,Tbilisi,Asia,4000921,69700
Afganistán,República Islámica de Afganistán,Kabul,Asia,43844000,652230
Arabia Saudí,Reino de Arabia Saudita,Riyadh,Asia,35300280,2149690
Turkmenistán,Turkmenistán,Ashgabat,Asia,7057841,488100
Maldivas,República de las Maldivas,Malé,Asia,515132,300
Iran,República Islámica de Irán,Tehran,Asia,85961000,1648195
Myanmar,República de la Unión de Myanmar,Naypyidaw,Asia,51316756,676578
Corea del Sur,República de Corea,Seoul,Asia,51159889,100210
Japón,Japón,Tokyo,Asia,123210000,377930
Corea del Norte,República Popular Democrática de Corea,Pyongyang,Asia,25950000,120538
Singapur,República de Singapur,Singapore,Asia,6110200,710
Pakistán,República Islámica de Pakistán,Islamabad,Asia,241499431,796095
China,República Popular de China,Beijing,Asia,1408280000,9706961
Tailandia,Reino de Tailandia,Bangkok,Asia,65859640,513120
