nombre_comun_es,nombre_oficial_es,capital,region,poblacion,area,continente
Belice,Belice,Belmopan,Americas,397621,22966,Americas
Estados Unidos,Estados Unidos de América,"Washington, D.C.",Americas,329484123,9372610,Americas
Barbados,Barbados,Bridgetown,Americas,287371,430,Americas
Guayana Francesa,Guayana,Cayenne,Americas,254541,83534,Americas
Haití,República de Haití,Port-au-Prince,Americas,11402533,27750,Americas
Ecuador,República del Ecuador,Quito,Americas,17643060,276841,Americas
Sint Maarten,Sint Maarten,Philipsburg,Americas,40812,34,Americas
Venezuela,República Bolivariana de Venezuela,Caracas,Americas,28435943,916445,Americas
Antigua y Barbuda,Antigua y Barbuda,Saint John's,Americas,97928,442,Americas
Santa Lucía,Santa Lucía,Castries,Americas,183629,616,Americas
Groenlandia,Groenlandia,Nuuk,Americas,56367,2166086,Americas
Martinica,Martinica,Fort-de-France,Americas,378243,1128,Americas
San Bartolomé,Colectividad de San Barthélemy,Gustavia,Americas,4255,21,Americas
Bolivia,Estado Plurinacional de Bolivia,Sucre,Americas,11673029,1098581,Americas
Chile,República de Chile,Santiago,Americas,19116209,756102,Americas
Islas Ultramarinas Menores de Estados Unidos,Estados Unidos Islas menores alejadas de,Washington DC,Americas,300,34,Americas
Aruba,Aruba,Oranjestad,Americas,106766,180,Americas
República Dominicana,República Dominicana,Santo Domingo,Americas,10847904,48671,Americas
El Salvador,República de El Salvador,San Salvador,Americas,6486201,21041,Americas
Montserrat,Montserrat,Plymouth,Americas,4922,102,Americas
Islas Malvinas,islas Malvinas,Stanley,Americas,2563,12173,Americas
Bahamas,Commonwealth de las Bahamas,Nassau,Americas,393248,13943,Americas
Costa Rica,República de Costa Rica,San José,Americas,5094114,51100,Americas
San Cristóbal y Nieves,Federación de San Cristóbal y Nevis,Basseterre,Americas,53192,261,Americas
Islas Turks y Caicos,Islas Turcas y Caicos,Cockburn Town,Americas,38718,948,Americas
San Pedro y Miquelón,San Pedro y Miquelón,Saint-Pierre,Americas,6069,242,Americas
Brasil,República Federativa del Brasil,Brasília,Americas,212559409,8515767,Americas
Caribe Neerlandés,"Bonaire, San Eustaquio y Saba",Kralendijk,Americas,25987,328,Americas
Jamaica,Jamaica,Kingston,Americas,2961161,10991,Americas
Trinidad y Tobago,República de Trinidad y Tobago,Port of Spain,Americas,1399491,5130,Americas
Islas Vírgenes de los Estados Unidos,Islas Vírgenes de los Estados Unidos,Charlotte Amalie,Americas,106290,347,Americas
San Vicente y Granadinas,San Vicente y las Granadinas,Kingstown,Americas,110947,389,Americas
Panamá,República de Panamá,Panama City,Americas,4314768,75417,Americas
Bermudas,Bermuda,Hamilton,Americas,63903,54,Americas
México,Estados Unidos Mexicanos,Mexico City,Americas,128932753,1964375,Americas
Anguilla,Anguila,The Valley,Americas,13452,91,Americas
Islas Caimán,Islas Caimán,George Town,Americas,65720,264,Americas
Perú,República de Perú,Lima,Americas,32971846,1285216,Americas
Colombia,República de Colombia,Bogotá,Americas,50882884,1141748,Americas
Curazao,País de Curazao,Willemstad,Americas,155014,444,Americas
Uruguay,República Oriental del Uruguay,Montevideo,Americas,3473727,181034,Americas
Canadá,Canadá,Ottawa,Americas,38005238,9984670,Americas
Honduras,República de Honduras,Tegucigalpa,Americas,9904608,112492,Americas
Saint Martin,Saint Martin,Marigot,Americas,38659,53,Americas
Surinam,República de Suriname,Paramaribo,Americas,586634,163820,Americas
Nicaragua,República de Nicaragua,Managua,Americas,6624554,130373,Americas
Guadalupe,Guadalupe,Basse-Terre,Americas,400132,1628,Americas
Paraguay,República de Paraguay,Asunción,Americas,7132530,406752,Americas
Argentina,República Argentina,Buenos Aires,Americas,45376763,2780400,Americas
Dominica,Mancomunidad de Dominica,Roseau,Americas,71991,751,Americas
Islas Vírgenes del Reino Unido,Islas Vírgenes,Road Town,Americas,30237,151,Americas
Guatemala,República de Guatemala,Guatemala City,Americas,16858333,108889,Americas
Grenada,Granada,St. George's,Americas,112519,344,Americas
Puerto Rico,Asociado de Puerto Rico,San Juan,Americas,3194034,8870,Americas
Cuba,República de Cuba,Havana,Americas,11326616,109884,Americas
Guyana,República Cooperativa de Guyana,Georgetown,Americas,786559,214969,Americas
Reino Unido,Reino Unido de Gran Bretaña e Irlanda del Norte,London,Europe,67215293,242900,Europe
Portugal,República Portuguesa,Lisbon,Europe,10305564,92090,Europe
Guernsey,Bailía de Guernsey,St. Peter Port,Europe,62999,78,Europe
Países Bajos,Países Bajos,Amsterdam,Europe,16655799,41850,Europe
Croacia,República de Croacia,Zagreb,Europe,4047200,56594,Europe
Alemania,República Federal de Alemania,Berlin,Europe,83240525,357114,Europe
Macedonia del Norte,República de Macedonia del Norte,Skopje,Europe,2077132,25713,Europe
Italia,República Italiana,Rome,Europe,59554023,301336,Europe
Suiza,Confederación Suiza,Bern,Europe,8654622,41284,Europe
San Marino,Serenísima República de San Marino,City of San Marino,Europe,33938,61,Europe
Moldavia,República de Moldova,Chișinău,Europe,2617820,33846,Europe
Polonia,República de Polonia,Warsaw,Europe,37950802,312679,Europe
Francia,República francés,Paris,Europe,67391582,551695,Europe
Estonia,República de Estonia,Tallinn,Europe,1331057,45227,Europe
Bulgaria,República de Bulgaria,Sofia,Europe,6927288,110879,Europe
Bélgica,Reino de Bélgica,Brussels,Europe,11555997,30528,Europe
Islandia,Islandia,Reykjavik,Europe,366425,103000,Europe
Ucrania,Ucrania,Kyiv,Europe,44134693,603500,Europe
Kosovo,República de Kosovo,Pristina,Europe,1775378,10908,Europe
Hungría,Hungría,Budapest,Europe,9749763,93028,Europe
Grecia,República Helénica,Athens,Europe,10715549,131990,Europe
Chipre,República de Chipre,Nicosia,Europe,1207361,9251,Europe
Lituania,República de Lituania,Vilnius,Europe,2794700,65300,Europe
Bosnia y Herzegovina,Bosnia y Herzegovina,Sarajevo,Europe,3280815,51209,Europe
Luxemburgo,Gran Ducado de Luxemburgo,Luxembourg,Europe,632275,2586,Europe
Jersey,Bailía de Jersey,Saint Helier,Europe,100800,116,Europe
Malta,República de Malta,Valletta,Europe,525285,316,Europe
Montenegro,Montenegro,Podgorica,Europe,621718,13812,Europe
Ciudad del Vaticano,Ciudad del Vaticano,Vatican City,Europe,451,0,Europe
Gibraltar,Gibraltar,Gibraltar,Europe,33691,6,Europe
Letonia,República de Letonia,Riga,Europe,1901548,64559,Europe
Alandia,Islas Åland,Mariehamn,Europe,29458,1580,Europe
Albania,República de Albania,Tirana,Europe,2837743,28748,Europe
Austria,República de Austria,Vienna,Europe,8917205,83871,Europe
República Eslovaca,República Eslovaca,Bratislava,Europe,5458827,49037,Europe
Eslovenia,República de Eslovenia,Ljubljana,Europe,2100126,20273,Europe
Noruega,Reino de Noruega,Oslo,Europe,5379475,323802,Europe
Dinamarca,Reino de Dinamarca,Copenhagen,Europe,5831404,43094,Europe
Liechtenstein,Principado de Liechtenstein,Vaduz,Europe,38137,160,Europe
Islas Svalbard y Jan Mayen,Svalbard og Jan Mayen,Longyearbyen,Europe,2562,61399,Europe
Chequia,República Checa,Prague,Europe,10698896,78865,Europe
Rusia,Federación de Rusia,Moscow,Europe,144104080,17098242,Europe
Serbia,República de Serbia,Belgrade,Europe,6908224,88361,Europe
Bielorrusia,República de Belarús,Minsk,Europe,9398861,207600,Europe
España,Reino de España,Madrid,Europe,47351567,505992,Europe
Suecia,Reino de Suecia,Stockholm,Europe,10353442,450295,Europe
Isla de Man,Isla de Man,Douglas,Europe,85032,572,Europe
Andorra,Principado de Andorra,Andorra la Vella,Europe,77265,468,Europe
Islas Faroe,Islas Feroe,Tórshavn,Europe,48865,1393,Europe
Mónaco,Principado de Mónaco,Monaco,Europe,39244,2,Europe
Rumania,Rumania,Bucharest,Europe,19286123,238391,Europe
Irlanda,República de Irlanda,Dublin,Europe,4994724,70273,Europe
Finlandia,República de Finlandia,Helsinki,Europe,5530719,338424,Europe
Isla Bouvet,Isla Bouvet,N/A,Antarctic,0,49,Antarctic
Islas Heard y McDonald,Islas Heard y McDonald,N/A,Antarctic,0,412,Antarctic
Islas Georgias del Sur y Sandwich del Sur,Georgia del Sur y las Islas Sandwich del Sur,King Edward Point,Antarctic,30,3903,Antarctic
Antártida,Antártida,N/A,Antarctic,1000,14000000,Antarctic
Tierras Australes y Antárticas Francesas,Territorio del Francés Tierras australes y antárticas,Port-aux-Français,Antarctic,400,7747,Antarctic
Burundi,República de Burundi,Gitega,Africa,11890781,27834,Africa
Túnez,República de Túnez,Tunis,Africa,11818618,163610,Africa
Zambia,República de Zambia,Lusaka,Africa,18383956,752612,Africa
Guinea,República de Guinea,Conakry,Africa,13132792,245857,Africa
Ruanda,República de Rwanda,Kigali,Africa,12952209,26338,Africa
Mayotte,Departamento de Mayotte,Mamoudzou,Africa,226915,374,Africa
Níger,República de Níger,Niamey,Africa,24206636,1267000,Africa
Mauricio,República de Mauricio,Port Louis,Africa,1265740,2040,Africa
Mauritania,República Islámica de Mauritania,Nouakchott,Africa,4649660,1030700,Africa
Benín,República de Benin,Porto-Novo,Africa,12123198,112622,Africa
Egipto,República Árabe de Egipto,Cairo,Africa,102334403,1002450,Africa
Sierra Leone,República de Sierra Leona,Freetown,Africa,7976985,71740,Africa
Territorio Británico del Océano Índico,Territorio Británico del Océano Índico,Diego Garcia,Africa,3000,60,Africa
Camerún,República de Camerún,Yaoundé,Africa,26545864,475442,Africa
Somalia,República Federal de Somalia,Mogadishu,Africa,15893219,637657,Africa
Sudán del Sur,República de Sudán del Sur,Juba,Africa,11193729,619745,Africa
Malawi,República de Malawi,Lilongwe,Africa,19129955,118484,Africa
Guinea Ecuatorial,República de Guinea Ecuatorial,Malabo,Africa,1402985,28051,Africa
Mozambique,República de Mozambique,Maputo,Africa,31255435,801590,Africa
Libia,Estado de Libia,Tripoli,Africa,6871287,1759540,Africa
Guinea-Bisáu,República de Guinea-Bissau,Bissau,Africa,1967998,36125,Africa
Madagascar,República de Madagascar,Antananarivo,Africa,27691019,587041,Africa
Uganda,República de Uganda,Kampala,Africa,45741000,241550,Africa
Cabo Verde,República de Cabo Verde,Praia,Africa,555988,4033,Africa
República Centroafricana,República Centroafricana,Bangui,Africa,4829764,622984,Africa
Mali,República de Malí,Bamako,Africa,20250834,1240192,Africa
Senegal,República de Senegal,Dakar,Africa,16743930,196722,Africa
Seychelles,República de las Seychelles,Victoria,Africa,98462,452,Africa
Zimbabue,República de Zimbabue,Harare,Africa,14862927,390757,Africa
Liberia,República de Liberia,Monrovia,Africa,5057677,111369,Africa
Djibouti,República de Djibouti,Djibouti,Africa,988002,23200,Africa
Marruecos,Reino de Marruecos,Rabat,Africa,36910558,446550,Africa
Argelia,República Argelina Democrática y Popular,Algiers,Africa,44700000,2381741,Africa
Kenia,República de Kenya,Nairobi,Africa,53771300,580367,Africa
Angola,República de Angola,Luanda,Africa,32866268,1246700,Africa
Tanzania,República Unida de Tanzania,Dodoma,Africa,59734213,945087,Africa
Sudán,República de Sudán,Khartoum,Africa,43849269,1886068,Africa
"Santa Elena, Ascensión y Tristán de Acuña","Santa Elena, Ascensión y Tristán de Acuña",Jamestown,Africa,53192,394,Africa
Etiopía,República Democrática Federal de Etiopía,Addis Ababa,Africa,114963583,1104300,Africa
Botswana,República de Botswana,Gaborone,Africa,2351625,582000,Africa
Reunión,Isla de la Reunión,Saint-Denis,Africa,840974,2511,Africa
Santo Tomé y Príncipe,República Democrática de Santo Tomé y Príncipe,São Tomé,Africa,219161,964,Africa
Chad,República de Chad,N'Djamena,Africa,16425859,1284000,Africa
Congo,República del Congo,Brazzaville,Africa,5657000,342000,Africa
Comoras,Unión de las Comoras,Moroni,Africa,869595,1862,Africa
Eritrea,Estado de Eritrea,Asmara,Africa,5352000,117600,Africa
Lesotho,Reino de Lesotho,Maseru,Africa,2142252,30355,Africa
Nigeria,República Federal de Nigeria,Abuja,Africa,206139587,923768,Africa
Sahara Occidental,República Árabe Saharaui Democrática,El Aaiún,Africa,510713,266000,Africa
Gambia,República de Gambia,Banjul,Africa,2416664,10689,Africa
Suazilandia,Reino de eSwatini,Mbabane,Africa,1160164,17364,Africa
Gabón,República de Gabón,Libreville,Africa,2225728,267668,Africa
Ghana,República de Ghana,Accra,Africa,31072945,238533,Africa
Sudáfrica,República de Sudáfrica,"Pretoria, Bloemfontein, Cape Town",Africa,59308690,1221037,Africa
Congo (Rep. Dem.),República Democrática del Congo,Kinshasa,Africa,108407721,2344858,Africa
Namibia,República de Namibia,Windhoek,Africa,2540916,825615,Africa
Burkina Faso,Burkina Faso,Ouagadougou,Africa,20903278,272967,Africa
Togo,República de Togo,Lomé,Africa,8278737,56785,Africa
Costa de Marfil,República de Côte d'Ivoire,Yamoussoukro,Africa,26378275,322463,Africa
Nepal,República Democrática Federal de Nepal,Kathmandu,Asia,29136808,147181,Asia
Catar,Estado de Qatar,Doha,Asia,2881060,11586,Asia
Emiratos Árabes Unidos,Emiratos Árabes Unidos,Abu Dhabi,Asia,9890400,83600,Asia
Líbano,República Libanesa,Beirut,Asia,6825442,10452,Asia
Armenia,República de Armenia,Yerevan,Asia,2963234,29743,Asia
Malasia,Malasia,Kuala Lumpur,Asia,32365998,330803,Asia
Arabia Saudí,Reino de Arabia Saudita,Riyadh,Asia,34813867,2149690,Asia
Kuwait,Estado de Kuwait,Kuwait City,Asia,4270563,17818,Asia
Iran,República Islámica de Irán,Tehran,Asia,83992953,1648195,Asia
India,República de la India,New Delhi,Asia,1380004385,3287590,Asia
Bangladesh,República Popular de Bangladesh,Dhaka,Asia,164689383,147570,Asia
Yemen,República de Yemen,Sana'a,Asia,29825968,527968,Asia
Timor Oriental,República Democrática de Timor-Leste,Dili,Asia,1318442,14874,Asia
